Ref	Original	Compressed	Target	Fragment	Concatenation
HASAW 4(1)	"This section has effect for imposing on persons duties in relation to those who— (a) are not their employees; but (b) use non-domestic premises made available to them as a place of work or as a place where they may use plant or substances provided for their use there, and applies to premises so made available and other non-domestic premises used in connection with them.
"	"This section has effect for imposing on persons duties in relation to those who— (a) are not their employees; but (b) use non-domestic premises made available to them as a place of work.
"	No	No	No
HASAW 4(2)	"It shall be the duty of each person who has, to any extent, control of premises to which this section applies or of the means of access thereto or egress therefrom or of any plant or substance in such premises to take such measures as it is reasonable for a person in his position to take to ensure, so far as is reasonably practicable, that the premises, all means of access thereto or egress therefrom available for use by persons using the premises, and any plant or substance in the premises or, as the case may be, provided for use there, is or are safe and without risks to health."	It shall be the duty of each person who has control of premises to which this section applies to take such measures to ensure that the premises is safe and without risks to health.	No	No	No
HASAW 4(3)	"Where a person has, by virtue of any contract or tenancy, an obligation of any extent in relation to— (a) the maintenance or repair of any premises to which this section applies or any means of access thereto or egress therefrom; or (b) the safety of or the absence of risks to health arising from plant or substances in any such premises; that person shall be treated, for the purposes of subsection (2) above, as being a person who has control of the matters to which his obligation extends."	Where a person has an obligation in relation to— (a) the maintenance of premises to which this section applies; or (b) the safety of plant or substances in such premises; that person shall be treated as being a person who has control of the matters to which his obligation extends.	No	No	Yes
HASAW 4(3)	"Where a person has, by virtue of any contract or tenancy, an obligation of any extent in relation to—"	Where a person has an obligation in relation to—	Yes	yes	No
HASAW 4(3)	the maintenance or repair of any premises to which this section applies or any means of access thereto or egress therefrom; or	the maintenance of premises to which this section applies; or	Yes	yes	No
HASAW 4(3)	the safety of or the absence of risks to health arising from plant or substances in any such premises;	the safety of plant or substances in such premises;	Yes	yes	No
HASAW 4(3)	"that person shall be treated, for the purposes of subsection (2) above, as being a person who has control of the matters to which his obligation extends."	that person shall be treated as being a person who has control of the matters to which his obligation extends.	Yes	yes	No
HASAW 4(4)	"Any reference in this section to a person having control of any premises or matter is a reference to a person having control of the premises or matter in connection with the carrying on by him of a trade, business or other undertaking (whether for profit or not)."	Any reference to a person having control of any premises is a reference to a person having control of the premises in connection with a trade or other undertaking.	Yes	No	No
HASAW 5(1)	"Subject to subsection (5) below, it shall be the duty of the person having control of any premises of a class prescribed for the purposes of section 1(1)(d) to use the best practicable means for preventing the emission into the atmosphere from the premises of noxious or offensive substances and for rendering harmless and inoffensive such substances as may be so emitted."	It shall be the duty of the person having control of any premises to use the best practicable means for preventing the emission of noxious substances and for rendering harmless such substances as may be so emitted.	Yes	No	No
HASAW 5(2)	The reference in subsection (1) above to the means to be used for the purposes there mentioned includes a reference to the manner in which the plant provided for those purposes is used and to the supervision of any operation involving the emission of the substances to which that subsection applies.	The reference to the means to be used includes a reference to the manner in which the plant  is used and to the supervision of any operation involving the emission of substances.	Yes	No	No
HASAW 5(3)	"Any substance or a substance of any description prescribed for the purposes of subsection (1) above as noxious or offensive shall be a noxious or, as the case may be, an offensive substance for those purposes whether or not it would be so apart from this subsection."	Any substance prescribed for the purposes of subsection (1) as noxious shall be a noxious  substance for those purposes whether or not it would be so apart from this subsection.	Yes	No	No
HASAW 5(5)	The foregoing provisions of this section shall not apply in relation to any process which is a prescribed process as from the date which is the determination date for that process.	The foregoing provisions of this section shall not apply in relation to any process which is a prescribed process.	Yes	No	No
HASAW 5(6)	"For the purposes of subsection (5) above, the “determination date” for a prescribed process is— (a) in the case of a process for which an authorisation is granted, the date on which the enforcing authority grants it, whether in pursuance of the application or, on an appeal, of a direction to grant it; (b) in the case of a process for which an authorisation is refused, the date of the refusal or, on an appeal, of the affirmation of the refusal."	"The “determination date” for a prescribed process is— (a) in the case of a process for which an authorisation is granted, the date on which the enforcing authority grants it; (b) in the case of a process for which an authorisation is refused, the date of the refusal."	No	No	Yes
HASAW 5(6)	"For the purposes of subsection (5) above, the “determination date” for a prescribed process is—"	The “determination date” for a prescribed process is—	No	yes	No
HASAW 5(6)	"in the case of a process for which an authorisation is granted, the date on which the enforcing authority grants it, whether in pursuance of the application or, on an appeal, of a direction to grant it;"	"in the case of a process for which an authorisation is granted, the date on which the enforcing authority grants it;"	Yes	yes	No
HASAW 5(6)	"in the case of a process for which an authorisation is refused, the date of the refusal or, on an appeal, of the affirmation of the refusal."	"in the case of a process for which an authorisation is refused, the date of the refusal."	Yes	yes	No
HASAW 5(7)	"In subsections (5) and (6) above “authorisation”, “enforcing authority” and “prescribed process” have the meaning given in section 1 of the Environmental Protection Act 1990 and the reference to an appeal is a reference to an appeal under section 15 of that Act."	"“Authorisation”, “enforcing authority” and “prescribed process” have the meaning given in the Environmental Protection Act 1990."	Yes	No	No
HASAW 6(1)	"It shall be the duty of any person who designs, manufactures, imports or supplies any article for use at work or any article of fairground equipment— (a) to ensure, so far as is reasonably practicable, that the article is so designed and constructed that it will be safe and without risks to health at all times when it is being set, used, cleaned or maintained by a person at work; (b) to carry out or arrange for the carrying out of such testing and examination as may be necessary for the performance of the duty imposed on him by the preceding paragraph; (c) to take such steps as are necessary to secure that persons supplied by that person with the article are provided with adequate information about the use for which the article is designed or has been tested and about any conditions necessary to ensure that it will be safe and without risks to health at all such times as are mentioned in paragraph (a) above and when it is being dismantled or disposed of; and (d) to take such steps as are necessary to secure, so far as is reasonably practicable, that persons so supplied are provided with all such revisions of information provided to them by virtue of the preceding paragraph as are necessary by reason of its becoming known that anything gives rise to a serious risk to health or safety."	It shall be the duty of any person who supplies any article for use at work or any article of fairground equipment— (a) to ensure that the article is so constructed that it will be safe and without risks to health; (b) to carry out such testing as may be necessary; (c) to take such steps as are necessary to secure that persons supplied with the article are provided with information about the article and about any conditions necessary to ensure that it will be safe and without risks to health; and (d) to take such steps as are necessary to secure that persons so supplied are provided with all such revisions of information provided to them by virtue of the preceding paragraph.	No	No	Yes
HASAW 6(1)	"It shall be the duty of any person who designs, manufactures, imports or supplies any article for use at work or any article of fairground equipment—"	It shall be the duty of any person who supplies any article for use at work or any article of fairground equipment—	Yes	yes	No
HASAW 6(1)	"to ensure, so far as is reasonably practicable, that the article is so designed and constructed that it will be safe and without risks to health at all times when it is being set, used, cleaned or maintained by a person at work;"	to ensure that the article is so constructed that it will be safe and without risks to health;	Yes	yes	No
HASAW 6(1)	to carry out or arrange for the carrying out of such testing and examination as may be necessary for the performance of the duty imposed on him by the preceding paragraph;	to carry out such testing as may be necessary;	Yes	yes	No
HASAW 6(1)	to take such steps as are necessary to secure that persons supplied by that person with the article are provided with adequate information about the use for which the article is designed or has been tested and about any conditions necessary to ensure that it will be safe and without risks to health at all such times as are mentioned in paragraph (a) above and when it is being dismantled or disposed of; and	to take such steps as are necessary to secure that persons so supplied are provided with all such revisions of information provided to them by virtue of the preceding paragraph.	Yes	yes	No
SGA 1(1)	This Act applies to contracts of sale of goods made on or after (but not to those made before) 1 January 1894.	This Act applies to contracts of sale of goods made after 1 January 1894.	Yes	No	No
SGA 1(2)	"In relation to contracts made on certain dates, this Act applies subject to the modification of certain of its sections as mentioned in Schedule 1 below."	"In relation to contracts made on certain dates, this Act applies subject to Schedule 1."	Yes	No	No
SGA 1(3)	Any such modification is indicated in the section concerned by a reference to Schedule 1 below.	Any such modification is indicated in the section concerned.	Yes	No	No
SGA 1(4)	"Accordingly, where a section does not contain such a reference, this Act applies in relation to the contract concerned without such modification of the section."	"Accordingly, where a section does not contain such a reference, this Act applies without modification."	Yes	No	No
SGA 1(5)	Certain sections or subsections of this Act do not apply to a contract to which Chapter 2 of Part 1 of the Consumer Rights Act 2015 applies.	Certain sections of this Act do not apply to a contract to which the Consumer Rights Act 2015 applies.	Yes	No	No
SGA 1(6)	Where that is the case it is indicated in the section concerned.	Where that is the case it is indicated in the section.	Yes	No	No
SGA 2(1)	"A contract of sale of goods is a contract by which the seller transfers or agrees to transfer the property in goods to the buyer for a money consideration, called the price."	A contract of sale of goods is a contract by which the seller transfers goods to the buyer for  money.	Yes	No	No
SGA 2(2)	There may be a contract of sale between one part owner and another.	There may be a contract of sale between one owner and another.	Yes	No	No
SGA 2(4)	Where under a contract of sale the property in the goods is transferred from the seller to the buyer the contract is called a sale.	Where under a contract of sale the property is transferred from the seller to the buyer the contract is called a sale.	Yes	No	No
SGA 2(5)	Where under a contract of sale the transfer of the property in the goods is to take place at a future time or subject to some condition later to be fulfilled the contract is called an agreement to sell.	Where under a contract of sale the transfer of the property is to take place at a future time the contract is called an agreement to sell.	Yes	No	No
SGA 2(6)	An agreement to sell becomes a sale when the time elapses or the conditions are fulfilled subject to which the property in the goods is to be transferred.	An agreement to sell becomes a sale when the time elapses to which the property is to be transferred.	Yes	No	No
SGA 3(1)	Capacity to buy and sell is regulated by the general law concerning capacity to contract and to transfer and acquire property.	Capacity to buy and sell is regulated by the general law concerning capacity.	Yes	No	No
SGA 3(2)	"Where necessaries are sold and delivered to a minor or to a person who by reason of mental incapacity or drunkenness is incompetent to contract, he must pay a reasonable price for them."	"Where necessaries are sold to a person who is incompetent to contract, he must pay a reasonable price for them."	Yes	No	No
SGA 3(3)	In subsection (2) above “necessaries” means goods suitable to the condition in life of the minor or other person concerned and to his actual requirements at the time of the sale and delivery.	“necessaries” means goods suitable to the life of the person concerned.	Yes	No	No
SGA 4(1)	"Subject to this and any other Act, a contract of sale may be made in writing (either with or without seal), or by word of mouth, or partly in writing and partly by word of mouth, or may be implied from the conduct of the parties."	"A contract of sale may be made in writing, or by word of mouth, or may be implied from the conduct of the parties."	Yes	No	No
SGA 5(1)	"The goods which form the subject of a contract of sale may be either existing goods, owned or possessed by the seller, or goods to be manufactured or acquired by him after the making of the contract of sale, in this Act called future goods."	"The subject of a contract of sale may be either existing goods, or goods to be manufactured  after the making of contract."	Yes	No	No
SGA 5(2)	There may be a contract for the sale of goods the acquisition of which by the seller depends on a contingency which may or may not happen.	There may be a contract for the sale of goods which depends on a contingency which may or may not happen.	Yes	No	No
SGA 6	"Where there is a contract for the sale of specific goods, and the goods without the knowledge of the seller have perished at the time when the contract is made, the contract is void.
"	"Where there is a contract for the sale of goods, and the goods have perished, the contract is void.
"	Yes	No	No
SGA 7	"Where there is an agreement to sell specific goods and subsequently the goods, without any fault on the part of the seller or buyer, perish before the risk passes to the buyer, the agreement is avoided.
"	"Where there is an agreement to sell goods and the goods, without any fault of the seller or buyer, perish before the risk passes, the agreement is avoided.
"	Yes	No	No
SGA 8(1)	"The price in a contract of sale may be fixed by the contract, or may be left to be fixed in a manner agreed by the contract, or may be determined by the course of dealing between the parties."	"The price in a contract of sale may be fixed, or may be left to be fixed, or may be determined by the course of dealing between the parties."	Yes	No	No
SGA 8(2)	Where the price is not determined as mentioned in sub-section (1) above the buyer must pay a reasonable price.	Where the price is not determined the buyer must pay a reasonable price.	Yes	No	No
SGA 8(3)	What is a reasonable price is a question of fact dependent on the circumstances of each particular case.	A reasonable price is a question of fact dependent on the circumstances.	Yes	No	No
SGA 9(1)	"Where there is an agreement to sell goods on the terms that the price is to be fixed by the valuation of a third party, and he cannot or does not make the valuation, the agreement is avoided; but if the goods or any part of them have been delivered to and appropriated by the buyer he must pay a reasonable price for them."	"Where the price is to be fixed by the valuation of a third party, and he does not make the valuation, the agreement is avoided; but if the goods have been delivered to the buyer he must pay a reasonable price for them."	No	No	Yes
SGA 9(1)	"Where there is an agreement to sell goods on the terms that the price is to be fixed by the valuation of a third party, and he cannot or does not make the valuation, the agreement is avoided;"	"Where the price is to be fixed by the valuation of a third party, and he does not make the valuation, the agreement is avoided;"	Yes	yes	No
SGA 9(1)	but if the goods or any part of them have been delivered to and appropriated by the buyer he must pay a reasonable price for them.	but if the goods have been delivered to the buyer he must pay a reasonable price for them.	Yes	yes	No
SGA 10(1)	"Unless a different intention appears from the terms of the contract, stipulations as to time of payment are not of the essence of a contract of sale."	"Unless a different intention appears, stipulations as to time of payment are not of the essence of a contract."	Yes	No	No
SGA 10(2)	Whether any other stipulation as to time is or is not of the essence of the contract depends on the terms of the contract.	Whether any other stipulation as to time is of the essence depends on the terms of the contract.	Yes	No	No
SGA 10(3)	In a contract of sale “month” prima facie means calendar month.	In a contract of sale “month” means calendar month.	Yes	No	No
SGA 11(2)	"Where a contract of sale is subject to a condition to be fulfilled by the seller, the buyer may waive the condition, or may elect to treat the breach of the condition as a breach of warranty and not as a ground for treating the contract as repudiated."	"Where a contract of sale is subject to a condition to be fulfilled by the seller, the buyer may waive the condition, or may treat the breach as a breach of warranty."	Yes	No	No
SGA 11(3)	"Whether a stipulation in a contract of sale is a condition, the breach of which may give rise to a right to treat the contract as repudiated, or a warranty, the breach of which may give rise to a claim for damages but not to a right to reject the goods and treat the contract as repudiated, depends in each case on the construction of the contract; and a stipulation may be a condition, though called a warranty in the contract."	Whether a stipulation is a condition or a warranty depends on the construction of the contract.	No	No	Yes
SGA 11(3)	"Whether a stipulation in a contract of sale is a condition, the breach of which may give rise to a right to treat the contract as repudiated,"	Whether a stipulation is a condition	Yes	yes	No
SGA 11(3)	"or a warranty, the breach of which may give rise to a claim for damages but not to a right to reject the goods and treat the contract as repudiated,"	or a warranty	Yes	yes	No
SGA 11(3)	"depends in each case on the construction of the contract; and a stipulation may be a condition, though called a warranty in the contract."	depends on the construction of the contract.	Yes	yes	No
SGA 11(4)	"Subject to section 35A below where a contract of sale is not severable and the buyer has accepted the goods or part of them, the breach of a condition to be fulfilled by the seller can only be treated as a breach of warranty, and not as a ground for rejecting the goods and treating the contract as repudiated, unless there is an express or implied term of the contract to that effect."	"Where a contract of sale is not severable and the buyer has accepted the goods, the breach of a condition by the seller can only be treated as a breach of warranty, unless there is an express term of the contract to that effect."	Yes	No	No
SGA 11(4A)	Subsection (4) does not apply to a contract to which Chapter 2 of Part 1 of the Consumer Rights Act 2015 applies (but see the provision made about such contracts in sections 19 to 22 of that Act).	Subsection (4) does not apply to a contract to which the Consumer Rights Act 2015 applies.	No	No	No
SGA 11(6)	Nothing in this section affects a condition or warranty whose fulfilment is excused by law by reason of impossibility or otherwise.	Nothing in this section affects a condition or warranty whose fulfilment is excused by law.	Yes	No	No
SGA 11(7)	Paragraph 2 of Schedule 1 below applies in relation to a contract made before 22 April 1967 or (in the application of this Act to Northern Ireland) 28 July 1967.	Paragraph 2 of Schedule 1 applies in relation to a contract made before 22 April 1967.	No	No	No
SGA 12(1)	"In a contract of sale, other than one to which subsection (3) below applies, there is an implied term on the part of the seller that in the case of a sale he has a right to sell the goods, and in the case of an agreement to sell he will have such a right at the time when the property is to pass."	In a contract of sale there is an implied term on the part of the seller that he has a right to sell the goods.	No	No	Yes
SGA 12(1)	"In a contract of sale, other than one to which subsection (3) below applies, there is an implied term on the part of the seller that in the case of a sale he has a right to sell the goods,"	In a contract of sale there is an implied term on the part of the seller that he has a right to sell the goods.	Yes	yes	No
SGA 12(2)	"In a contract of sale, other than one to which subsection (3) below applies, there is also an implied term that— (a) the goods are free, and will remain free until the time when the property is to pass, from any charge or encumbrance not disclosed or known to the buyer before the contract is made, and (b) the buyer will enjoy quiet possession of the goods except so far as it may be disturbed by the owner or other person entitled to the benefit of any charge or encumbrance so disclosed or known."	"In a contract of sale there is also an implied term that— (a) the goods are free from any charge or encumbrance not disclosed, and (b) the buyer will enjoy possession of the goods except as it may be disturbed by any charge or encumbrance so disclosed."	No	No	Yes
SGA 12(2)	"In a contract of sale, other than one to which subsection (3) below applies, there is also an implied term that—"	In a contract of sale there is also an implied term that—	Yes	yes	No
SGA 12(2)	"the goods are free, and will remain free until the time when the property is to pass, from any charge or encumbrance not disclosed or known to the buyer before the contract is made, and"	"the goods are free from any charge or encumbrance not disclosed, and"	Yes	yes	No
SGA 12(2)	the buyer will enjoy quiet possession of the goods except so far as it may be disturbed by the owner or other person entitled to the benefit of any charge or encumbrance so disclosed or known.	the buyer will enjoy possession of the goods except as it may be disturbed by any charge or encumbrance so disclosed.	Yes	yes	No
SGA 12(3)	This subsection applies to a contract of sale in the case of which there appears from the contract or is to be inferred from its circumstances an intention that the seller should transfer only such title as he or a third person may have.	This subsection applies to a contract of sale in the case of which there is an intention that the seller should transfer only such title as he may have.	Yes	No	No
SGA 12(4)	In a contract to which subsection (3) above applies there is an implied term that all charges or encumbrances known to the seller and not known to the buyer have been disclosed to the buyer before the contract is made.	In a contract there is an implied term that all charges or encumbrances known to the seller have been disclosed to the buyer.	Yes	No	No
SGA 12(5)	"In a contract to which subsection (3) above applies there is also an implied term that none of the following will disturb the buyer’s quiet possession of the goods, namely— (a) the seller; (b) in a case where the parties to the contract intend that the seller should transfer only such title as a third person may have, that person; (c) anyone claiming through or under the seller or that third person otherwise than under a charge or encumbrance disclosed or known to the buyer before the contract is made."	"In a contract there is also an implied term that none of the following will disturb the buyer’s possession of the goods— (a) the seller; (b) in a case where the parties to the contract intend that the seller should transfer only such title as a third person may have, that person; (c) anyone claiming through the seller or that third person otherwise than under a charge or encumbrance disclosed."	No	No	Yes
SGA 12(5)	anyone claiming through or under the seller or that third person otherwise than under a charge or encumbrance disclosed or known to the buyer before the contract is made.	anyone claiming through the seller or that third person otherwise than under a charge or encumbrance disclosed.	Yes	yes	No
SGA 12(5A)	"As regards England and Wales and Northern Ireland, the term implied by subsection (1) above is a condition and the terms implied by subsections (2), (4) and (5) above are warranties."	"The term implied by subsection (1) above is a condition and the terms implied by subsections (2), (4) and (5) above are warranties."	Yes	No	No
SGA 13(3)	"A sale of goods is not prevented from being a sale by description by reason only that, being exposed for sale or hire, they are selected by the buyer."	A sale of goods is not prevented from being a sale by description by reason only that they are selected by the buyer.	Yes	No	No
CA 1(2)	"In any proceedings in which any question with respect to the upbringing of a child arises, the court shall have regard to the general principle that any delay in determining the question is likely to prejudice the welfare of the child."	"In any proceedings in which the upbringing of a child arises, the court shall have regard to the general principle that any delay is likely to prejudice the welfare of the child."	Yes	No	No
CA 1(2A)	"A court, in the circumstances mentioned in subsection (4)(a) or (7), is as respects each parent within subsection (6)(a) to presume, unless the contrary is shown, that involvement of that parent in the life of the child concerned will further the child's welfare."	"A court, is as respects each parent within subsection (6)(a) to presume that involvement of that parent in the life of the child will further the child's welfare."	Yes	No	No
CA 1(2B)	"In subsection (2A) “involvement” means involvement of some kind, either direct or indirect, but not any particular division of a child's time."	“involvement” means involvement of some kind but not any particular division of time.	Yes	No	No
CA 1(3)	"In the circumstances mentioned in subsection (4), a court shall have regard in particular to— (a) the ascertainable wishes and feelings of the child concerned (considered in the light of his age and understanding); (b) his physical, emotional and educational needs; (c) the likely effect on him of any change in his circumstances; (d) his age, sex, background and any characteristics of his which the court considers relevant; (e) any harm which he has suffered or is at risk of suffering; (f) how capable each of his parents, and any other person in relation to whom the court considers the question to be relevant, is of meeting his needs; (g) the range of powers available to the court under this Act in the proceedings in question."	"A court shall have regard to— (a) the wishes and feelings of the child; (b) his physical, emotional and educational needs; (c) the likely effect on him of any change in his circumstances; (d) his age, sex, background and any characteristics of his which the court considers relevant; (e) any harm which he has suffered or is at risk of suffering; (f) how capable each of his parents is of meeting his needs; (g) the range of powers available to the court."	No	No	Yes
CA 1(3)	"In the circumstances mentioned in subsection (4), a court shall have regard in particular to—"	A court shall have regard to—	Yes	yes	No
CA 1(3)	the ascertainable wishes and feelings of the child concerned (considered in the light of his age and understanding)	the wishes and feelings of the child	Yes	yes	No
CA 1(3)	the range of powers available to the court under this Act in the proceedings in question.	the range of powers available to the court.	Yes	yes	No
CA 1(4)	"The circumstances are that— (a) the court is considering whether to make, vary or discharge a section 8 order, and the making, variation or discharge of the order is opposed by any party to the proceedings; or (b) the court is considering whether to make, vary or discharge a special guardianship order or an order under Part IV."	"The circumstances are that— (a) the court is considering whether to make a section 8 order, and the making of the order is opposed; or (b) the court is considering whether to make a special guardianship order or an order under Part IV."	No	No	Yes
CA 1(5)	"Where a court is considering whether or not to make one or more orders under this Act with respect to a child, it shall not make the order or any of the orders unless it considers that doing so would be better for the child than making no order at all."	"Where a court is considering whether or not to make one or more orders, it shall not make the order unless it considers that doing so would be better for the child than making no order at all."	Yes	No	No
CA 1(6)	"In subsection (2A) “parent” means parent of the child concerned; and, for the purposes of that subsection, a parent of the child concerned— (a) is within this paragraph if that parent can be involved in the child's life in a way that does not put the child at risk of suffering harm; and (b) is to be treated as being within paragraph (a) unless there is some evidence before the court in the particular proceedings to suggest that involvement of that parent in the child's life would put the child at risk of suffering harm whatever the form of the involvement."	“parent” means parent of the child; and a parent— (a) is within this paragraph if that parent can be involved in the child's life in a way that does not put the child at risk; and (b) is within paragraph (a) unless there is some evidence to suggest that involvement of that parent in the child's life would put the child at risk.	No	No	Yes
CA 1(6)	"In subsection (2A) “parent” means parent of the child concerned; and, for the purposes of that subsection, a parent of the child concerned—"	“parent” means parent of the child; and a parent—	Yes	yes	No
CA 1(6)	is within this paragraph if that parent can be involved in the child's life in a way that does not put the child at risk of suffering harm; and	is within this paragraph if that parent can be involved in the child's life in a way that does not put the child at risk; and	Yes	yes	No
CA 1(6)	is to be treated as being within paragraph (a) unless there is some evidence before the court in the particular proceedings to suggest that involvement of that parent in the child's life would put the child at risk of suffering harm whatever the form of the involvement.	is within paragraph (a) unless there is some evidence to suggest that involvement of that parent in the child's life would put the child at risk.	Yes	yes	No
CA 1(7)	The circumstances referred to are that the court is considering whether to make an order under section 4(1)(c) or (2A) or 4ZA(1)(c) or (5) (parental responsibility of parent other than mother).	The circumstances referred to are that the court is considering whether to make an order under section 4(1)(c) or (2A) or 4ZA(1)(c) or (5).	No	No	No
CA 2(1)	"Where a child’s father and mother were married to each other at the time of his birth, they shall each have parental responsibility for the child."	"Where a child’s father and mother were married at the time of his birth, they each have parental responsibility for the child."	Yes	No	No
CA 2(2)	Where a child’s father and mother were not married to each other at the time of his birth— (a) the mother shall have parental responsibility for the child; (b) the father shall have parental responsibility for the child if he has acquired it (and has not ceased to have it) in accordance with the provisions of this Act.	Where a child’s father and mother were not married at the time of his birth— (a) the mother shall have parental responsibility for the child; (b) the father shall have parental responsibility for the child if he has acquired it in accordance with this Act.	No	No	Yes
CA 2(2)	Where a child’s father and mother were not married to each other at the time of his birth—	Where a child’s father and mother were not married at the time of his birth—	Yes	yes	No
CA 2(2)	the father shall have parental responsibility for the child if he has acquired it (and has not ceased to have it) in accordance with the provisions of this Act.	the father shall have parental responsibility for the child if he has acquired it in accordance with this Act.	No	yes	No
CA 2(3)	"References in this Act to a child whose father and mother were, or (as the case may be) were not, married to each other at the time of his birth must be read with section 1 of the Family Law Reform Act 1987 (which extends their meaning)."	"References to a child whose father and mother were, or were not, married at the time of his birth must be read with section 1 of the Family Law Reform Act 1987."	Yes	No	No
CA 2(4)	The rule of law that a father is the natural guardian of his legitimate child is abolished.	The rule that a father is the guardian of his child is abolished.	Yes	No	No
CA 2(5)	More than one person may have parental responsibility for the same child at the same time.	More than one person may have parental responsibility for the same child.	Yes	No	No
CA 2(6)	A person who has parental responsibility for a child at any time shall not cease to have that responsibility solely because some other person subsequently acquires parental responsibility for the child.	A person who has parental responsibility for a child shall not cease to have responsibility solely because some other person acquires parental responsibility for the child.	Yes	No	No
CA 2(7)	"Where more than one person has parental responsibility for a child, each of them may act alone and without the other (or others) in meeting that responsibility; but nothing in this Part shall be taken to affect the operation of any enactment which requires the consent of more than one person in a matter affecting the child."	"Where more than one person has parental responsibility for a child, each of them may act alone in meeting that responsibility; but nothing shall be taken to affect any enactment which requires the consent of more than one person."	Yes	No	No
CA 2(8)	The fact that a person has parental responsibility for a child shall not entitle him to act in any way which would be incompatible with any order made with respect to the child under this Act.	The fact that a person has parental responsibility for a child shall not entitle him to act in any way which would be incompatible with any order made under this Act.	Yes	No	No
CA 2(9)	A person who has parental responsibility for a child may not surrender or transfer any part of that responsibility to another but may arrange for some or all of it to be met by one or more persons acting on his behalf.	A person who has parental responsibility may not transfer any part of that responsibility but may arrange for some of it to be met by one or more persons acting on his behalf.	Yes	No	No
CA 2(10)	The person with whom any such arrangement is made may himself be a person who already has parental responsibility for the child concerned.	The person with whom any such arrangement is made may himself be a person who already has parental responsibility for the child.	Yes	No	No
CA 2(11)	The making of any such arrangement shall not affect any liability of the person making it which may arise from any failure to meet any part of his parental responsibility for the child concerned.	Any such arrangement shall not affect any liability of the person making it for the child concerned.	Yes	No	No
CA 3(1)	"In this Act “parental responsibility” means all the rights, duties, powers, responsibilities and authority which by law a parent of a child has in relation to the child and his property."	“parental responsibility” means all the responsibilities and authority which by law a parent of a child has in relation to the child.	Yes	No	No
CA 3(2)	"It also includes the rights, powers and duties which a guardian of the child’s estate (appointed, before the commencement of section 5, to act generally) would have had in relation to the child and his property."	It also includes the powers and duties which a guardian of the child’s estate would have had in relation to the child.	No	No	No
CA 3(3)	"The rights referred to in subsection (2) include, in particular, the right of the guardian to receive or recover in his own name, for the benefit of the child, property of whatever description and wherever situated which the child is entitled to receive or recover."	"Rights include the right of the guardian to receive, for the benefit of the child, property which the child is entitled to receive."	Yes	No	No
CA 3(4)	"The fact that a person has, or does not have, parental responsibility for a child shall not affect— (a) any obligation which he may have in relation to the child (such as a statutory duty to maintain the child); or (b) any rights which, in the event of the child’s death, he (or any other person) may have in relation to the child’s property."	"The fact that a person has parental responsibility for a child shall not affect— (a) any obligation which he may have in relation to the child; or (b) any rights which, in the event of the child’s death, he may have in relation to the child’s property."	No	No	Yes
CA 3(4)	"The fact that a person has, or does not have, parental responsibility for a child shall not affect—"	The fact that a person has parental responsibility for a child shall not affect—	Yes	yes	No
CA 3(4)	any obligation which he may have in relation to the child (such as a statutory duty to maintain the child); or	any obligation which he may have in relation to the child; or	No	yes	No
CA 3(4)	"any rights which, in the event of the child’s death, he (or any other person) may have in relation to the child’s property."	"any rights which, in the event of the child’s death, he may have in relation to the child’s property."	Yes	yes	No
CA 3(5)	"A person who— (a) does not have parental responsibility for a particular child; but (b) has care of the child, may (subject to the provisions of this Act) do what is reasonable in all the circumstances of the case for the purpose of safeguarding or promoting the child’s welfare.
"	"A person who— (a) does not have parental responsibility for a child; but (b) has care of the child, may do what is reasonable for the purpose of safeguarding the child’s welfare.
"	No	No	Yes
CA 3(5)	does not have parental responsibility for a particular child; but	does not have parental responsibility for a child; but	Yes	yes	No
CA 3(5)	may (subject to the provisions of this Act) do what is reasonable in all the circumstances of the case for the purpose of safeguarding or promoting the child’s welfare.	may do what is reasonable for the purpose of safeguarding the child’s welfare.	Yes	yes	No
CA 4(1)	"Where a child’s father and mother were not married to each other at the time of his birth, the father shall acquire parental responsibility for the child if— (a) he becomes registered as the child’s father under any of the enactments specified in subsection (1A); (b) he and the child’s mother make an agreement (a “parental responsibility agreement”) providing for him to have parental responsibility for the child; or (c) the court, on his application, orders that he shall have parental responsibility for the child."	"Where a child’s father and mother were not married at the time of his birth, the father shall acquire parental responsibility if— (a) he becomes registered as the child’s father; (b) he and the child’s mother make an agreement providing for him to have parental responsibility for the child; or (c) the court orders that he shall have parental responsibility for the child."	No	No	Yes
CA 4(1)	"Where a child’s father and mother were not married to each other at the time of his birth, the father shall acquire parental responsibility for the child if—"	"Where a child’s father and mother were not married at the time of his birth, the father shall acquire parental responsibility if—"	Yes	yes	No
CA 4(1)	he becomes registered as the child’s father under any of the enactments specified in subsection (1A)	he becomes registered as the child’s father	Yes	yes	No
CA 4(1)	he and the child’s mother make an agreement (a “parental responsibility agreement”) providing for him to have parental responsibility for the child; or	he and the child’s mother make an agreement providing for him to have parental responsibility for the child; or	No	yes	No
CA 4(1)	"the court, on his application, orders that he shall have parental responsibility for the child."	the court orders that he shall have parental responsibility for the child.	Yes	yes	No
